ScheduleID,ScheduleName,ScheduleType,PackageRoundID,StartDate,EndDate
4e4e3b30-3166-4630-acf9-236c65ad119a,JSArcher Field,Recurring,,,
ac0f27e0-fb05-45fd-a14a-24be5710ff61,Monthly R/U- Monday,Recurring,,,
a6c698c0-c4db-45b1-9390-272d76dfca53,Flower Planting,Package,1ff5ce99-3da8-4dea-98dd-89bb92a5211f,2/1/2021,5/1/2021
a6c698c0-c4db-45b1-9390-272d76dfca53,Flower Planting,Package,d502d9ee-ac05-4836-bba1-6ce96939d4f0,9/1/2021,11/30/2021
a6c698c0-c4db-45b1-9390-272d76dfca53,Flower Planting,Package,d12235cd-7552-4458-80b4-8c3a0d5cc170,2/1/2022,5/1/2022
a6c698c0-c4db-45b1-9390-272d76dfca53,Flower Planting,Package,46647b81-fca3-460e-98f9-f8870ce11906,9/1/2022,11/30/2022
a6c698c0-c4db-45b1-9390-272d76dfca53,Flower Planting,Package,044039e0-b141-45fe-85d1-579d60de19f2,2/1/2023,5/1/2023
a6c698c0-c4db-45b1-9390-272d76dfca53,Flower Planting,Package,4941c18d-2a53-46d2-a5fb-8825664d396c,9/1/2023,11/30/2023
a6c698c0-c4db-45b1-9390-272d76dfca53,Flower Planting,Package,3daf57ff-e3ef-407b-88a3-11eda30c6276,2/1/2024,5/1/2024
a6c698c0-c4db-45b1-9390-272d76dfca53,Flower Planting,Package,913cf2dd-fc49-41d6-b919-a2abdc5b21d5,9/1/2024,11/30/2024
a6c698c0-c4db-45b1-9390-272d76dfca53,Flower Planting,Package,a8378678-d33e-432f-9df6-d0749279b927,2/1/2025,5/1/2025
a6c698c0-c4db-45b1-9390-272d76dfca53,Flower Planting,Package,8e7a957e-db70-45b9-8c64-8c841badbf51,9/1/2025,11/30/2025
a6c698c0-c4db-45b1-9390-272d76dfca53,Flower Planting,Package,3243f5cc-d8f5-483d-a4b3-409209bf962a,2/1/2026,5/1/2026
a6c698c0-c4db-45b1-9390-272d76dfca53,Flower Planting,Package,dead6c6f-6354-431d-92b2-5f6f185f3e65,9/1/2026,11/30/2026
e9213ca2-f9bc-4852-9c02-27395cb69f74,Monthly Mowing - Thursday,Recurring,,,
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,9d3d4535-4efd-4071-8eb6-d8248a2f87a3,2/14/2022,4/2/2022
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,7a12c8f5-49c4-4b01-bbdb-094694169f37,4/4/2022,5/21/2022
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,ac19a21a-5cbb-4ac8-9dfd-845280e4bdc2,5/23/2022,7/9/2022
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,32c0ee7c-8a2d-40af-b834-5dfd8bdbbdcb,7/11/2022,8/27/2022
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,cd4f742a-65c3-41d0-9db2-822cf47c961c,8/29/2022,10/17/2022
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,194403b1-22b3-4901-98b2-269cd04e0f94,10/10/2022,11/12/2022
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,ab2ce37a-5e99-45d2-8753-6d9a64688fac,11/14/2022,12/24/2022
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,4d9dda7d-d006-4425-8f4b-f27f6483aa2f,2/14/2023,4/2/2023
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,39069fa5-ba11-4578-a9a9-8ecf9eaaae8f,4/4/2023,5/21/2023
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,5c7545a2-7b2a-4337-89fc-56e8084dead0,5/23/2023,7/9/2023
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,042ad546-049d-485a-94b2-cadee7c83318,7/11/2023,8/27/2023
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,8f6c1a8f-a6c1-4826-8437-7cf7a974ebbc,8/29/2023,10/17/2023
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,9c3030b8-ce08-46c7-9b49-531aa0668637,10/10/2023,11/12/2023
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,78a88dc6-2f85-42bf-bee5-a719b9c7c201,11/14/2023,12/24/2023
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,235fd35c-09f9-4fcc-92f9-c2313d3791b5,2/14/2024,4/2/2024
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,976c79e9-273e-46f1-82e4-f6535604ba1c,4/4/2024,5/21/2024
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,7617c272-cd4c-42e3-9224-e4028c8b5879,5/23/2024,7/9/2024
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,ed91d91b-b099-4ac5-b5e6-15b07c4765ec,7/11/2024,8/27/2024
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,94a4765c-3457-49b5-9cb4-cc3a7184fd11,8/29/2024,10/17/2024
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,c425b372-07b4-48c6-b7bf-4e7660e2cdeb,10/10/2024,11/12/2024
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,c83f8106-c70b-436c-a927-a81b3e0a4b08,11/14/2024,12/24/2024
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,0ced2031-d104-4f85-aae8-e7b95657a377,2/14/2025,4/2/2025
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,1632d95b-6a62-4e39-82e0-89543f737019,4/4/2025,5/21/2025
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,c21f34df-b90d-4f16-ad23-7ceac9d9e995,5/23/2025,7/9/2025
