ServiceName,ParentService,Code,ShowInSnow,EstimatesOnly,TrackChemicals,SalesTaxCode,ServiceMode,InvoiceDescription,Active,DefaultRate,MinimumAmount,MinimumAmountMessage,DefaultBudgetedHours,DefaultCommission,PayOnBudgetedHours,InvoiceTimeFormat,Class,Account,EstimateDescription,CallScriptNotes,NumberOfVisits,RatePer,TargetPerHour,TargetPerHourWithDrive,AverageServiceYears,MatrixCalculation,MatrixCustomField,ChemicalProducts
GL3 Early Summer,,GL3,False,False,True,Non,PerUnit,Application of slow-release fertilizer & post emergent broadleaf weed control.,True,50.00,0.00,,0.25,None,False,None,,Sales,Early SummerMay or JuneThis lawn care treatment contains slow release lawn fertilizer and post-emergent weed control.,,0,NotSet,0.00,0.00,0.00,Qty X Rate X Visits,Turf 1000 Sq Ft,R3 Early Summer Lawn Treatment
August Preemergent Poa,,Aug Pre Poa,False,False,False,Non,FlatRate,August Pre-emergent for perennial Poa,True,50.00,0.00,,0.00,None,False,None,,Sales,August Pre-emergent for perennial Poa,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Mulch Blower Contractor 15+,,15+ Cont,False,False,False,Non,PerUnit,Blower Installed Mulch,True,58.00,0.00,,0.00,None,False,None,,Sales,"Blower Installed Mulch-Blower Installed Mulching-Deliver and install double-shredded, color-enhanced, hardwood mulch",,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Retaining Wall,,Retaining,False,False,False,,PerUnit,"retaining wall:  materials, preparation, installation",True,0.00,0.00,,0.00,None,False,None,,Sales,"Retaining Wall Installation retaining wall: materials, preparation, installation",,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Chemical Spraying,,Chemical S,False,False,False,,PerUnit,broadleaf weed control,True,7.00,0.00,,0.00,None,False,None,,Sales,Chemical Spraying broadleaf weed control,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,Turf 1000 Sq Ft,
Extra Seed,,Extra Seed,False,False,False,Non,FlatRate,Delivery and Installation of Extra Seed (Per 50lb Bag),True,150.00,0.00,,0.00,None,False,None,,Sales,Extra Seed Delivery and installation of extra seed (per 50 lb bag of 99.9% weed free blue tag fescue ),,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Core Aeration,,GL5 Core A,False,False,False,,PerUnit,Core aeration,True,22.00,0.00,,0.10,None,False,None,,Sales,Core AerationCore aeration only.No seed or fertilizer. Need grass seed? Certified blue tag seed available for purchase upon request.,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,Turf 1000 Sq Ft,
Snow Contract Agreement,,Snow Contr,True,False,False,Non,Hourly,Snow Service Contract,True,120.00,0.00,,1.00,None,False,None,,Sales,Snow Service Contract,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Weed Trimmer Service.,,Weed Trimmer,False,False,False,Non,PerUnit,Trimming by hand with weed trimmer,True,50.00,0.00,,1.00,None,False,None,,Sales,Weed Trimmer Service Trimming by hand with weed trimmer,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Storm Debris Cleanup,,Storm Debris Cleanup,False,False,False,Non,Hourly,Storm Debris Clean-Up,True,285.00,0.00,,0.00,None,False,None,,Sales,Storm Debris Clean-Up,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Hedge-Pruning - Early Spring,,Hedges - Spr,False,False,False,Non,FlatRate,Early Spring hedge or shrub trimming,True,285.00,0.00,,1.00,None,False,None,,Sales,Early Spring Hedge or Shrub Trimming,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
