Tag,Category,Automation  Tag,Modified,,
002 - CC-Expired,Automations,check icon,3/2/2019,,?
002 - CC-Updated,Automations,check icon,3/1/2019,,?
002 - Service-Paused,Automations,check icon,3/20/2019,,?
006 - Email,Automations,check icon,5/22/2020,,?
006 - Notification-Optout,Automations,check icon,5/22/2020,,?
006 - Service-Notification-Optin,Automations,check icon,5/22/2020,,?
006 - Text-Message,Automations,check icon,5/22/2020,,?
007 - Estimate Follow Up 1,Automations,check icon,3/20/2019,,?
007 - Estimate Follow Up 2,Automations,check icon,3/20/2019,,?
007 - Estimate Follow Up 3,Automations,check icon,3/20/2019,,?
017 - Do Not Tag Past Due,Automations,check icon,3/20/2019,,?
017 - Paused Service Email Sent,Automations,check icon,3/20/2019,,?
017 - Payment Received,Automations,check icon,3/20/2019,,?
017 - Services Paused,Automations,check icon,3/20/2019,,?
017 - Waiting for Payment,Automations,check icon,3/20/2019,,?
031 - Contract Expiring,General,,2/18/2023,,
28-0-3 Starter Fert,General,,9/2/2025,,
2-Way Text Opt-In,General,,9/3/2025,,
3 Leaf Pkg Incuded,General,,1/8/2026,,
Aeration Re-Do,General,,10/21/2024,,
Arrangements Made,Billing,,1/30/2020,,
ASF,General,,8/9/2019,,
ASF - No Pkg,General,,8/28/2023,,
ASF 10/5/25,General,,8/28/2025,,
Auto Chg ACH,Billing,,5/4/2023,,
Auto Chg Cr Cd,Billing,,5/3/2021,,
AutomationTest,Automations,check icon,2/19/2021,,?
AutomationTestPastDue,Automations,check icon,11/6/2021,,?
Bal Reminder Needed,Billing,,2/18/2020,,
Bal Reminder Sent,Billing,,2/18/2020,,
Bermuda Pkg,General,,2/3/2019,,
Call Reminder Needed,Billing,,3/2/2020,,
Canceled Svc,Billing,,2/19/2022,,
Clarify Notes,General,,1/30/2019,,
Compost,General,,3/10/2019,,
Contract Customer,Billing,,2/19/2022,,
Contract dates reviewed Jan 25,Billing,,1/6/2025,,
Core Aer + Seed,General,,9/24/2019,,
Core Aer+Fert,General,,9/24/2019,,
Core Aeration,General,,8/9/2019,,
Core Aeration - No Pkg,General,,8/20/2025,,
Core Aeration and Seeding,General,,2/19/2019,,
Core AS - Not In Pkg,General,,8/27/2025,,
Covid-19 Job Loss,Billing,,4/27/2020,,
Crape Myrtle Pruning,General,,12/19/2020,,
Crosscreek Black Mulch,General,,12/18/2020,,
Curbside Followup,General,,11/1/2019,,
Curbside Leaf Collection,General,,11/4/2019,,
Declined Cr Cd,Billing,,3/3/2020,,
DefPay_ACH,Billing,,2/2/2026,,
DefPay_Check,Billing,,2/2/2026,,
DefPay_CrCd,Billing,,2/24/2026,,
Do Not Use Acct,Billing,,1/13/2023,,
Dup Inv,General,,2/1/2019,,
Early SPR Mulch Disc 2024,Marketing,,2/5/2024,,
Email Bounced/Rejected,General,,1/4/2023,,
Email to update Payment Address,Marketing,,6/13/2019,,
Est via Email,Estimates,,2/18/2023,,
Est via In Person,Estimates,,2/18/2023,,
Est via Phone,Estimates,,2/18/2023,,
Facebook Request,Marketing,,3/14/2024,,
Fert Pkg Auto Renewed,Billing,,2/17/2022,,
Fert Pkg Included,General,,1/30/2024,,
Fert Pkg Only,General,,4/22/2018,,
Fert Pkg PPV,General,,1/30/2024,,
Fert Questionnaire,Survey,,2/21/2019,,
Fungi 4,General,,8/2/2021,,
Fungicide Pkg,General,,1/2/2018,,
General Customer,General,,11/17/2017,,
GL5,General,,8/17/2023,,
GL5 F,General,,9/13/2022,,
Hedges - Fall,General,,5/13/2020,,
Hedges - Spring,General,,5/13/2020,,
Hedges - Spr-Sum,General,,1/5/2023,,
Hedges Form Request 2026,Marketing,,5/31/2026,,
Hedges Included,General,,6/15/2019,,
Hedges on Request,General,,5/20/2021,,
Invoice Monthly,General,,4/12/2018,,
irrigation,General,,1/12/2018,,
Irrigation Manit,General,,3/20/2018,,
Leaf and Vac,General,,2/19/2019,,
Leaf and Vac Pre,General,,10/31/2023,,
leaf cleanup,General,,11/4/2019,,
Leaf email 2018,Marketing,,11/17/2018,,
Leaves Never,Marketing,,11/2/2022,,
Leaves/Street,General,,10/26/2020,,
Leaves/Woods,General,,10/26/2020,,
Mkt ASF 2021,Marketing,,8/20/2021,,
Mkt ASF 2022,Marketing,,9/12/2022,,
Mkt Hand Mulch 2-8-21,Marketing,,2/23/2021,,
Mkt Leaves Fall 2019,Marketing,,11/9/2019,,
Monthly Statement,General,,9/20/2017,,
Moss Pkg,General,,3/15/2019,,
Mowing,General,,2/3/2019,,
Mowing B/W,General,,2/4/2019,,
Mowing B/W/Leaves,General,,2/14/2019,,
Mowing Custom Sch,General,,2/24/2025,,
Mowing/Leaves,General,,2/7/2019,,
Mrkt ASF 2024,Marketing,,8/4/2024,,
Mrkt ASF 2024 Resend,Marketing,,8/22/2024,,
Mrkt ASF 2025,Marketing,,10/15/2025,,
Mrkt Beat the Rush 2023,Marketing,,1/15/2023,,
Mrkt BTRush Spr 24,Marketing,,2/9/2024,,
Mrkt email July 2019 unopened,Marketing,,7/26/2019,,
